,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E8,E9,XH221,XH222,XH227,XH228,XH229,XH232,XH234,XH235,XH236,XH237,XH238,XH239_2,XH240,XH241,XH243,XH249,XH250_2,XH251,XH253,XH254,XH255,XH256,XH257,XH258,XH259,XH260,XH261,XH262,XH265,XH272,XH273,XH274,XH427_1,XH427_2
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__11.24.f__11.24.g__11.24,0,0,0,0.000103896,0,0.00039508,0,0.000726296,0,0,0,0,0,0,0,0,0.000341537,0.00025537,0,0.001213157,0,0,0,0,0,0,0,0,0,0,0,0,0.000136151,0.00033083,0,0.000690745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692718,0,0,0,0.000279057,0,0,0,0,0,0,0,0,0,0,0,0,0.000179318,0,0.000116123,0,0,0,0.000147965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000420698,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.__,0,0,0,0,0,0,0.000234799,0.000208934,0,0.000139817,0,0,0,0,0,0,0,0,0.000458917,0.000179336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095573,0,0,0,0,0,0,0,0,0,0.000134225,0,0,0,0,0,0,0,0,0,0,0.000235029,0,0,0,0.000109629,0,0,0,0,0,0,0,0,0,0,0,0,0.000151005,0,0,0,0,0,0,0,0,0.000568459,0,0,0,0,0,0,0.000863838,0,0,0,0,0,0,0,0,0.000420698,0.000544774,0,0,0,0,0,0,0,0.000212993,0.000563652,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.g__Aridibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193765,0,0,0,0,0.00010962,0,0,0,0,0,0,0,0,0,0.000232806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.g__Blastocatella,0,0,0,0,0.000327173,0,0.000408347,0.000119391,0,0.000209725,0,0,0,0,0.000173095,0.000130035,0.001355799,0.000163437,0.001070806,0.000284828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001813437,0.00047593,0.000550255,0.000407336,0,0,0,0,0,0,0.000190152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.g__JGI_0001001.H03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000246609,0.000374111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000451504,0.000383387,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.g__Stenotrophobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000346081,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.g__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424334,0,0.00016317,0.000137139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000245858,0.000167112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__DS.100.f__DS.100.g__DS.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Elev.16S.573.f__Elev.16S.573.g__Elev.16S.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000420698,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Pyrinomonadales.f__Pyrinomonadaceae.g__RB41,0.000756401,0.001674471,0,0.002618182,0.000337727,0.00099629,0.000398138,0.000785991,0,0.000998692,0,0.000840208,0.003340882,0,0.002332234,0.003532612,0.007234377,0.00335046,0.003997675,0.005896998,0.001519619,0.000220638,0.000133099,0.000244536,0.000931625,0.000393478,0,0,0,0,0,0,0.000778006,0.0080992,0.000739211,0.011227536,0.000908673,0,0.000266119,0,0,0,0,0.00039149,0,0,0,0,0,0,0,0,0,0,0.001348326,0,0,0,0.001714206,0,0,0,0,0,0,0,0,0,0,0,0,0.001830931,0.001284032,0.002216897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129212,0,0.000144509,0,0,0,0.000164183,0,0,0
d__Bacteria.p__Acidobacteriota.c__Holophagae.o__Holophagales.f__Holophagaceae.g__Holophaga,0,0,0,0,0,0.000249072,0,0,0,0,0,0,0,0,0,0,0,0.000204296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
