,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E8,E9,XH221,XH222,XH227,XH228,XH229,XH232,XH234,XH235,XH236,XH237,XH238,XH239_2,XH240,XH241,XH243,XH249,XH250_2,XH251,XH253,XH254,XH255,XH256,XH257,XH258,XH259,XH260,XH261,XH262,XH265,XH272,XH273,XH274,XH427_1,XH427_2
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Acidobacteriales.f__uncultured.g__uncultured,0,0,0,0,0,0.000921595,0.000224947,0.001043046,0,0,0,0,0,0,0,0,0.000124336,0.000654531,0,0.002409791,0,0,0,0,0,0,0,0,0,0,0,0,0.000204312,0.000700693,0.000406137,0.001008159,0.000386908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001078561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Bryobacterales.f__Bryobacteraceae.g__Bryobacter,0.000143684,0.000549899,0,0.00187672,0.000855649,0.001024952,0.002494862,0.002627673,0,0.000512723,0.000121566,0.001289472,0.001689224,0,0.002063663,0.002158867,0.005688353,0.00300675,0.004097397,0.006246433,0.000696028,0,0.000266294,0.000194355,0.000671169,0.000144005,0,0,0,0,0,0,0.000671311,0.00578994,0.002355593,0.00847557,0.003388058,0,0.000146855,0,0,0,0,0.001111361,0,0,0,0,0,0,0,0,0,0,0.001847191,0,0,0,0.000891391,0,0,0,0,0,0,0,0,0,0,0,0,0.000690209,0.001201358,0.002270759,0.000438753,0.000328504,0.000491619,0.003883062,0.001242489,0.000256445,0.003055471,0,0.000499845,0.000561882,0,0.000265641,0.000185118,0.000316318,0.000290947,0.000963271,0,0.001148974,0.000652078,0.000192888,0.000392578,0.000374205,0.00010736,0.000116211,0.000980626,0.000369599,0.000361099,0.000519166,0.000808999,0.000191264,0.000135419,0.000635944,0.000245884,0.001358004
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Elev.16S.1166.f__Elev.16S.1166.g__Elev.16S.1166,0,0,0,0.000104262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027613,0,0.000116262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Solibacterales.f__Solibacteraceae.g__Candidatus_Solibacter,0,0,0,0.000229377,0,0.000465104,0,0.000210615,0,0,0,0.000152826,0,0,0.000100444,0,0.000673484,0.000572714,0,0.00114148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000590058,0.000152301,0.000902654,0.000324166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031685,0,0,0.000174445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016592,0,0,0,0,0,0,0,0,0.000363397,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Subgroup_2.f__Subgroup_2.g__Subgroup_2,0,0,0,0,0,0.001713995,0,0,0,0,0,0,0,0,0,0,0,0.002597668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102156,0.00060235,0.00038583,0.000867486,0.000648332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.__.__.__,0,0,0,0,0,0,0,0,0,0,0,0,0.000152641,0,0,0.000119334,0.000176142,0.000153406,0,0.000169108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000679921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__11.24.f__11.24.g__11.24,0,0,0,0.000104262,0,0.0003962,0,0.000732138,0,0,0,0,0,0,0,0,0.000341923,0.000255676,0,0.001215465,0,0,0,0,0,0,0,0,0,0,0,0,0.000136208,0.000331907,0,0.000691644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694246,0,0,0,0.000280437,0,0,0,0,0,0,0,0,0,0,0,0,0.000179644,0,0.000116178,0,0,0,0.000740906,0,0,0,0,0,0,0,0,0,0,0,0.00018644,0,0,0,0,0.000144634,0,0.00095648,0,0,0,0,0,0,0,0,0.000158986,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.__,0,0,0,0,0,0,0.000235171,0.000210615,0,0.000140747,0,0,0,0,0,0,0,0,0.000459808,0.000179677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000958843,0,0,0,0,0,0,0,0,0,0.00013471,0,0,0,0,0,0,0,0,0,0,0.000235548,0,0,0,0.000110172,0,0,0,0,0,0,0,0,0,0,0,0,0.000141824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239965,0,0,0,0,0,0,0,0,0.00015616,0.000116211,0,0,0,0,0,0,0,0.000272548,0.000136602,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.g__Aridibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194141,0,0,0,0,0.000109853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142554,0,0,0,0,0,0,0.000154095,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.g__Blastocatella,0,0,0,0,0.000327471,0,0.000408994,0.000120351,0,0.000211121,0,0,0,0,0.000173494,0.000130183,0.00135733,0.000163633,0.001072885,0.00028537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001819344,0.000477211,0.000550971,0.000407822,0,0,0,0,0,0,0.00019084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
